sg_uf;nm_operacao;dt_deflagracao;ano;sg_unidade;nr_mpp;nr_mpt;nr_flagrante
RJ;PROC.0032358-19-DELECOR;2018-03-28;2018;SR/PF/RJ;0;0;0
UC;SKALA;2018-03-29;2018;DICOR/PF;15;0;0
PB;XEQUE MATE;2018-04-03;2018;SR/PF/PB;11;0;0
MT;MERENDA SEGURA;2018-04-04;2018;PF/CAE/MT;0;0;2
GO;JABACULÊ;2018-04-06;2018;SR/PF/GO;0;0;1
SP;SUD;2018-04-06;2018;SR/PF/SP;1;0;0
RR;CAPILÉ;2018-04-10;2018;SR/PF/RR;8;0;0
AL;MALACAFA;2018-04-10;2018;SR/PF/AL;0;0;0
UC;TIRA-TEIMA;2018-04-10;2018;DICOR/PF;0;0;0
SP;TORNIQUETE 2;2018-04-19;2018;PF/SSB/SP.;0;0;0
SP;PRELÚDIO;2018-04-19;2018;PF/SSB/SP.;0;0;0
AL; RIO LARGO;2018-04-23;2018;NIP/SR/PF/AL;1;0;0
UC;METANÓIA;2018-04-24;2018;DICOR/PF;0;0;0
PA;MALACODA;2018-04-25;2018;SR/PF/PA;0;0;0
MT;APATE;2018-04-26;2018;SR/PF/MT;0;0;0
BA; AGENTES NOCIVOS;2018-04-26;2018;PF/PSO/BA;0;0;0
RO;XEQUE MATE;2018-04-27;2018;SR/PF/RO;0;0;0
BA;DESCONSTRUÇÃO;2018-05-03;2018;PF/VDC/BA;0;0;0
MS;CUMPRIMENTO DE MANDADOS DE PRISÃO DA  LAMA ASFÁLTICA;2018-05-08;2018;SR/PF/MS;8;0;0
PR; LAVA JATO - FASE 51 - DEJA VU;2018-05-08;2018;SR/PF/PR;0;0;0
SP;PRATO FEITO;2018-05-09;2018;SR/PF/SP;0;0;3
AL;CATABIU;2018-05-10;2018;NIP/SR/PF/AL;0;0;0
AL;CANAPI;2018-05-10;2018;NIP/SR/PF/AL;0;0;0
RJ;FAREJADOR 2;2018-05-10;2018;SR/PF/RJ;0;0;0
RS;EFEITO COLATERAL II  - PF ONCOLOGIA;2018-05-15;2018;SR/PF/RS;0;0;0
RJ;ASCLEPIO;2018-05-15;2018;SR/PF/RJ;0;0;0
PE;INGERÊNCIA;2018-05-15;2018;SR/PF/PE;3;0;0
SC;CASCALHO;2018-05-17;2018;PF/DCQ/SC;0;0;0
PR; LAVA JATO - FASE 52 INTERMEDIÁRIA - SCHMIDT;2018-05-24;2018;SR/PF/PR;0;0;0
RO;CIRANDA;2018-05-29;2018;SR/PF/RO;0;10;0
AP;DIAGNOSIS;2018-05-29;2018;SR/PF/AP;0;11;0
BA;JURAMENTO DE HIPÓCRATES;2018-05-30;2018;PF/PSO/BA;0;0;0
DF;REGISTRO ESPÚRIO - 1ª FASE;2018-05-30;2018;SR/PF/DF;8;15;0
SP;SUD 2;2018-06-04;2018;SR/PF/SP;3;0;0
PR; LAVA JATO - FASE 52 INTERMEDIÁRIA - BOCALETTI;2018-06-05;2018;SR/PF/PR;0;0;0
MG;OBRA NOSSA;2018-06-07;2018;PF/GVS/MG;0;0;0
SC;CIBUM;2018-06-08;2018;PF/JVE/SC;0;0;0
AL;CAPITAL DOS MARECHAIS;2018-06-08;2018;SR/PF/AL;0;0;0
DF;REGISTRO ESPÚRIO - 2ª FASE;2018-06-12;2018;SR/PF/DF;0;0;0
PR; LAVA JATO - FASE 52 - GREENWICH;2018-06-21;2018;SR/PF/PR;1;1;0
SP;PEDRA NO CAMINHO;2018-06-21;2018;SR/PF/SP;0;15;0
SE;ANALGESIA;2018-06-26;2018;SR/PF/SE;0;0;0
RR;GÁRGULAS;2018-06-28;2018;SR/PF/RR;0;0;1
RJ;RESSONANCIA;2018-07-04;2018;SR/PF/RJ;13;9;0
DF;REGISTRO ESPÚRIO - 3ª FASE;2018-07-05;2018;SR/PF/DF;0;3;0
SE;SETE METROS;2018-07-12;2018;NIP/SR/PF/SE;0;0;0
MG;ENCOMENDA;2018-07-12;2018;SR/PF/MG;1;0;0
PR;MANDADO DE PRISÃO - FERNANDO NAVARRO FILHO;2018-07-12;2018;PF/LDA/PR;1;0;0
CE; AVANTE;2018-07-13;2018;SR/PF/CE;0;0;0
UC; INQ. 4683 STF PET. 7619;2018-07-16;2018;DICOR/PF;0;0;0
PB;XEQUE-MATE II;2018-07-19;2018;SR/PF/PB;0;0;0
MS;PAPIROS DE LAMA - LAMA ASFÁLTICA FASE V - ALTO ESCALÃO;2018-07-20;2018;SR/PF/MS;3;0;0
BA;CIRANDA DE PEDRA;2018-07-24;2018;PF/VDC/BA;0;0;0
DF;ZELOTES - 10ª FASE;2018-07-26;2018;NIP/SR/PF/DF;0;0;0
RN;VIA TRAJANA;2018-07-31;2018;SR/PF/RN;0;0;1
SP;FARRA NO TESOURO;2018-07-31;2018;PF/JLS/SP;4;1;0
PI;TOPIQUE;2018-08-02;2018;NIP/SR/PF/PI;13;9;0
ES;FRUTO PODRE;2018-08-08;2018;SR/PF/ES;0;0;1
TO;MÍNIMA MORALIA (BAGRATION 3);2018-08-08;2018;PF/AGA/TO;0;0;0
BA;ADSUMUS V;2018-08-09;2018;SR/PF/BA;3;0;0
UC;ACERTO DE NÚMERO 21-01-2019 PELAS DUPLICADAS;2018-08-13;2018;DICOR/PF;0;0;26
RR;GÁRGULAS DOIS;2018-08-13;2018;SR/PF/RR;0;0;0
UC;AC 4400;2018-08-13;2018;DICOR/PF;0;0;0
TO;TOTH;2018-08-15;2018;SR/PF/TO;0;0;0
SE;MARCHA A RÉ;2018-08-16;2018;NIP/SR/PF/SE;0;0;0
RJ;GOLIAS;2018-08-16;2018;SR/PF/RJ;1;0;0
RO; BLISTER - IPL 230/2016 - DPF/VLA/RO;2018-08-17;2018;PF/VLA/RO;0;0;0
BA;OFFERUS;2018-08-21;2018;SR/PF/BA;1;0;0
