sg_uf;nm_operacao;dt_deflagracao;ano;sg_unidade;nr_mpp;nr_mpt;nr_flagrante
RJ;FALSA LAVRA;2019-08-07;2019;SR/PF/RJ;0;0;1
TO;O MECANISMO;2019-08-08;2019;SR/PF/TO;0;0;1
PE; OCTOPUS I;2019-08-08;2019;PF/SGO/PE;0;2;0
AL;CASMURROS;2019-08-10;2019;SR/PF/AL;0;15;0
SP;#TUDONOSSO;2019-08-13;2019;PF/ARU/SP;0;15;0
PR; LAVA JATO - FASE 63 - CARBONARA CHIMICA;2019-08-21;2019;SR/PF/PR;0;2;0
PB;FAMINTOS - FASE 2;2019-08-22;2019;PF/CGE/PB;3;5;0
SP;CÍRCULO VICIOSO;2019-08-22;2019;SR/PF/SP;0;21;0
PR; LAVA JATO - FASE 64 - PENTITI;2019-08-23;2019;SR/PF/PR;0;0;0
SC;A BORDO;2019-08-30;2019;PF/JVE/SC;0;0;1
SP; VAGATOMIA;2019-09-03;2019;PF/JLS/SP;12;11;0
PI;PELOPONESO;2019-09-04;2019;SR/PF/PI;0;0;0
SC;MANCAT / POSTAL OFF;2019-09-06;2019;SR/PF/SC;11;1;0
MS;NESSUM DORMA ADSUMUS;2019-09-06;2019;PF/DRS/MS;2;0;0
PR; LAVA JATO - FASE 65 - GALERIA;2019-09-10;2019;SR/PF/PR;1;0;0
BA;INJUSTA CAUSA;2019-09-11;2019;SR/PF/BA;0;0;0
PE;DESINTEGRAÇÃO;2019-09-19;2019;SR/PF/PE;0;0;0
TO; CAROTENÓIDES;2019-09-24;2019;SR/PF/TO;2;0;0
SC;ARRITMIA;2019-09-24;2019;PF/XAP/SC;0;0;0
PI; SATÉLITES (2A. FASE DA  TOPIQUE);2019-09-25;2019;NIP/SR/PF/PI;0;0;0
AL;CASA ABANDONADA;2019-09-26;2019;NIP/SR/PF/AL;0;8;0
PB;FAMINTOS - FASE 3;2019-09-26;2019;PF/CGE/PB;1;1;0
TO;12º TRABALHO;2019-09-26;2019;SR/PF/TO;3;0;0
PB;XEQUE MATE 5 - ÁREA DA SAÚDE;2019-09-30;2019;SR/PF/PB;0;0;0
TO;URUTAU;2019-10-01;2019;SR/PF/TO;0;3;0
PR; CARNE FRACA - FASE IV - ROMANOS;2019-10-01;2019;SR/PF/PR;0;0;0
RJ;ARMADEIRA;2019-10-02;2019;SR/PF/RJ;6;5;0
TO;IMHOTEP;2019-10-02;2019;PF/AGA/TO;4;0;0
SP;ESTRELA CADENTE;2019-10-03;2019;SR/PF/SP;0;0;0
RS;AUTOCLAVE;2019-10-09;2019;SR/PF/RS;0;0;0
SE; MOSQUETEIROS;2019-10-10;2019;SR/PF/SE;0;0;0
PB;SIMBIOSE;2019-10-22;2019;PF/CGE/PB;0;0;0
PR; LAVA JATO - FASE 67 - TANGO & CASH;2019-10-23;2019;SR/PF/PR;0;0;0
AP;ARAUTO II;2019-10-24;2019;SR/PF/AP;0;3;0
RO;ESCRAVOS DE JÓ;2019-10-30;2019;PF/VLA/RO;0;0;1
RO;ILICITAÇÃO;2019-10-30;2019;PF/VLA/RO;0;2;0
PB;RASTRO;2019-10-30;2019;PF/CGE/PB;0;0;0
PA;CONTRASTE;2019-11-05;2019;PF/SNM/PA;0;0;0
TO;REPLICANTES;2019-11-06;2019;SR/PF/TO;2;2;1
SP;APPIUS;2019-11-07;2019;SR/PF/SP;0;0;0
PA;VISSAIUM;2019-11-12;2019;SR/PF/PA;10;4;1
MS;SODALITIA;2019-11-12;2019;PF/CRA/MS;0;0;0
PA; ESPÓRTULA;2019-11-12;2019;SR/PF/PA;0;0;0
PE;OUTLINE;2019-11-13;2019;SR/PF/PE;0;0;1
PB;AMIGOS DO REI;2019-11-13;2019;SR/PF/PB;0;0;0
PA;LADRILHAR;2019-11-14;2019;SR/PF/PA;0;0;0
BA;FAROESTE;2019-11-19;2019;SR/PF/BA;0;4;0
AL; DUPLICIDADE;2019-11-19;2019;SR/PF/AL;0;0;0
PB; RECIDIVA IV - REMANESCENTES;2019-11-20;2019;PF/PAT/PB;7;0;0
DF;ELÉTRON;2019-11-22;2019;SR/PF/DF;0;0;0
PA;CIDADELA II;2019-11-22;2019;SR/PF/PA;0;0;0
AC;USURPADORAS;2019-11-26;2019;SR/PF/AC;2;0;0
BA;FAROESTE - FASE 3;2019-11-29;2019;SR/PF/BA;1;0;0
GO;CONDUTA DE RISCO;2019-12-02;2019;SR/PF/GO;0;0;0
GO;CONDUTA DE RISCO 2;2019-12-02;2019;SR/PF/GO;0;0;2
BA;ASSEPTICUS;2019-12-04;2019;SR/PF/BA;8;0;0
PB;XEQUE MATE - FASE 6;2019-12-04;2019;SR/PF/PB;0;0;0
RO;FELDBERG III;2019-12-05;2019;PF/VLA/RO;4;1;0
RJ;EXPERTUS;2019-12-05;2019;SR/PF/RJ;1;0;0
MT;PORTEIRA ABERTA;2019-12-10;2019;PF/BRG/MT;0;0;0
MT;PORTEIRA ABERTA - 2ª FASE;2019-12-10;2019;PF/BRG/MT;0;0;0
PR; LAVA JATO - FASE 69 - MAPA DA MINA;2019-12-10;2019;SR/PF/PR;0;0;0
RS; QUÍMICA;2019-12-10;2019;PF/BGE/RS;0;0;0
RO;ENEAGRAMA;2019-12-11;2019;SR/PF/RO;5;0;0
AL;DAMA DA LÂMPADA;2019-12-11;2019;SR/PF/AL;9;7;0
RO;ÍMPIOS;2019-12-11;2019;SR/PF/RO;0;5;0
PR;ÁGUAS CLARAS;2019-12-13;2019;PF/FIG/PR;0;0;0
RO;RAPINA;2019-12-13;2019;PF/JPN/RO;3;5;0
PB;CALVÁRIO - SÉTIMA FASE - JUÍZO FINAL;2019-12-17;2019;SR/PF/PB;17;0;0
RO;DRENO;2019-12-18;2019;PF/VLA/RO;0;0;0
PR; LAVA JATO - FASE 70 - ÓBOLO;2019-12-18;2019;SR/PF/PR;0;0;0
SC; ALLODAPOS;2019-12-18;2019;NIP/SR/PF/SC;0;0;0
RR;GODFATHER;2019-12-19;2019;NIP/SR/PF/RR;0;7;0
BA;FAROESTE - FASE 4;2019-12-19;2019;SR/PF/BA;0;0;0
PB;PÉS DE BARRO;2019-12-21;2019;SR/PF/PB;4;0;0
PA;FORA DO CAIXA;2020-01-09;2020;SR/PF/PA;0;2;0
RN;BOCA DA MATA;2020-01-10;2020;SR/PF/RN;0;0;0
RJ;TU QUOQUE;2020-01-16;2020;SR/PF/RJ;1;0;0
BA;ARCAICO;2020-01-21;2020;PF/VDC/BA;0;0;0
RJ;CARONA DE DUQUE;2020-01-22;2020;PF/MCE/RJ;0;0;0
PR; EPAGOGE;2020-01-30;2020;SR/PF/PR;0;0;0
CE; VÁRZEA ALEGRE E AURORA;2020-01-30;2020;PF/JNE/CE;0;0;0
RJ;PONTO FINAL;2020-02-03;2020;SR/PF/RJ;1;0;0
SP; CHORUME;2020-02-04;2020;SR/PF/SP;0;0;0
PE;HAMMER;2020-02-05;2020;SR/PF/PE;0;0;0
DF; GAVETEIRO;2020-02-06;2020;SR/PF/DF;2;0;0
PA;PARASITA;2020-02-06;2020;SR/PF/PA;0;0;0
SP;VERITÀ PROTETTA;2020-02-13;2020;PF/JLS/SP;0;0;0
PE;PALLADIUM;2020-02-13;2020;SR/PF/PE;0;0;0
AC;PRESSÁGIO;2020-02-14;2020;PF/CZS/AC;0;7;0
ES;OUSADIA;2020-02-18;2020;SR/PF/ES;2;0;0
RJ;FUNCINE;2020-02-18;2020;SR/PF/RJ;0;0;0
CE; PERBOYRE;2020-02-19;2020;PF/JNE/CE;1;0;1
RO;CEFALÉIA;2020-02-28;2020;SR/PF/RO;0;0;0
AC; SERINGAIS;2020-03-03;2020;SR/PF/AC;0;0;0
MS;CEM POR CENTO;2020-03-05;2020;PF/NVI/MS;5;0;0
RJ;TITEREIRO;2020-03-05;2020;SR/PF/RJ;6;3;0
AC;MONTURO;2020-03-05;2020;SR/PF/AC;0;0;0
TO;BRUTUS;2020-03-10;2020;SR/PF/TO;0;0;0
TO;HASTATI;2020-03-10;2020;SR/PF/TO;0;0;0
PB;CALVÁRIO - OITAVA FASE;2020-03-10;2020;SR/PF/PB;1;0;0
CE;SUITCASE;2020-03-12;2020;SR/PF/CE;0;0;0
RJ;DESDOBRAMENTO DA TERGIVERSAÇÃO;2020-03-13;2020;SIP/SR/PF/RJ;1;0;0
TO; ASSOMBRO;2020-03-17;2020;SR/PF/TO;0;0;0
MG;ROTA BR 090 - FASE ZIGZAG E FASE CABRA CEGA;2020-03-18;2020;SR/PF/MG;0;1;0
MG;ROTA BR 090 - FASE ZIGZAG;2020-03-18;2020;SR/PF/MG;0;0;0
BA;FAROESTE - FASE 5;2020-03-24;2020;SR/PF/BA;3;0;0
RJ;PLANTÃO  - FASE 2;2020-04-09;2020;SR/PF/RJ;0;4;0
TO;GOYAZES;2020-04-15;2020;SR/PF/TO;0;0;0
RO;RAISCET;2020-04-15;2020;SR/PF/RO;0;0;0
RJ; VOTO VENDIDO;2020-04-17;2020;SR/PF/RJ;0;0;0
PB; ALQUIMIA;2020-04-23;2020;SR/PF/PB;0;0;0
TO;MADSET;2020-04-28;2020;SR/PF/TO;0;0;0
AP;VIRUS INFECTIO;2020-04-28;2020;SR/PF/AP;0;0;0
PB; HOLERITE;2020-04-29;2020;SR/PF/PB;0;0;0
RO;MECANISMO;2020-05-05;2020;PF/JPN/RO;0;0;0
PE;OUTLINE - 2ª FASE;2020-05-08;2020;SR/PF/PE;0;2;0
AP;EXPURGO;2020-05-11;2020;SR/PF/AP;0;0;0
PI; DELIVERY;2020-05-12;2020;SR/PF/PI;5;0;0
PA;PROFILAXIA;2020-05-13;2020;SR/PF/PA;1;0;0
AP;SEM FRONTEIRAS;2020-05-14;2020;SR/PF/AP;0;0;0
RJ;FAVORITO;2020-05-14;2020;SR/PF/RJ;5;0;0
SP;MEDCRUZ;2020-05-21;2020;PF/CZO/SP;0;0;0
PA; OLHO DE HÓRUS;2020-05-21;2020;PF/ATM/PA;0;0;0
SP;PHARMÁCO;2020-05-22;2020;PF/CZO/SP;0;0;0
CE;DISPNÉIA;2020-05-25;2020;SR/PF/CE;0;0;0
RJ;PLACEBO;2020-05-26;2020;SR/PF/RJ;0;0;0
RS; CAMILO;2020-05-27;2020;PF/SCS/RS;11;30;0
MG;MONTURO;2020-05-28;2020;PF/URA/MG;0;0;0
PE;APNEIA;2020-05-28;2020;SR/PF/PE;0;0;0
AP;VIRUS INFECTIO II;2020-05-29;2020;SR/PF/AP;3;0;0
AP;OLET;2020-05-29;2020;SR/PF/AP;0;0;0
CE; SPECTRUM 274;2020-06-01;2020;SR/PF/CE;0;0;0
PI; REAGENTE;2020-06-02;2020;SR/PF/PI;0;0;0
AC;OFF-LABEL;2020-06-03;2020;PF/CZS/AC;0;0;0
TO;PERSONALE;2020-06-03;2020;SR/PF/TO;0;0;0
PE;INÓPIA;2020-06-03;2020;SR/PF/PE;0;0;0
AC;DOSE DE VALORES;2020-06-05;2020;PF/CZS/AC;0;0;0
RJ;SCEPTICUS;2020-06-09;2020;PF/MCE/RJ;0;0;0
MA;COBIÇA FATAL;2020-06-09;2020;SR/PF/MA;0;2;0
RS; CAMILO - FASE 2;2020-06-09;2020;PF/SCS/RS;0;0;0
AC;ASSEPSIA;2020-06-10;2020;SR/PF/AC;0;2;0
RO;DÚCTIL;2020-06-10;2020;SR/PF/RO;0;2;0
PA;PARA BELLUM;2020-06-10;2020;SR/PF/PA;0;0;0
AP;PANACEIA;2020-06-14;2020;PF/OPQ/AP;0;0;0
RJ;EXAM;2020-06-15;2020;PF/MCE/RJ;0;0;0
PE;ANTÍDOTO;2020-06-16;2020;SR/PF/PE;0;0;0
PE;CASA DE PAPEL;2020-06-16;2020;SR/PF/PE;0;0;0
RR;MAXIMBOMBO;2020-06-16;2020;SR/PF/RR;0;0;0
CE;ASIA 1 - IPL 779/2013;2020-06-17;2020;SR/PF/CE;0;0;0
SC;TORRE DE MARFIM II;2020-06-17;2020;SR/PF/SC;0;0;0
TO; HIGHLINE;2020-06-17;2020;PF/AGA/TO;0;0;0
CE;ASIA 2 - IPL 247/2015;2020-06-17;2020;SR/PF/CE;0;2;0
PR; LAVA JATO - FASE 71 - SEM LIMITES II;2020-06-18;2020;SR/PF/PR;0;0;0
PA;SOLERCIA;2020-06-18;2020;SR/PF/PA;0;0;0
RS; CAMILO - FASE 3;2020-06-20;2020;PF/SCS/RS;0;1;0
RJ;MP VINICIUS FERREIRA PEIXOTO;2020-06-22;2020;SR/PF/RJ;1;0;0
ES;MOXUARA II;2020-06-23;2020;SR/PF/ES;0;0;0
PA;MATINTA PERERA;2020-06-23;2020;SR/PF/PA;0;0;0
MG;HANGAR;2020-06-24;2020;SR/PF/MG;0;0;0
MG;HANGAR;2020-06-24;2020;SR/PF/MG;0;0;0
RO;TRIUMPHI PUDORE;2020-06-25;2020;SR/PF/RO;0;0;0
CE;RES PUBLICA;2020-06-25;2020;SR/PF/CE;0;0;0
RJ;FIAT LUX;2020-06-25;2020;SR/PF/RJ;0;6;0
AP;VÍRUS INFECTIO III;2020-06-26;2020;SR/PF/AP;0;0;0
MS;RECALCULO;2020-06-30;2020;PF/DRS/MS;0;0;0
AP;CONLUIO;2020-06-30;2020;SR/PF/AP;0;0;0
AM;SANGRIA;2020-06-30;2020;SR/PF/AM;0;7;0
TO; RUMPLE;2020-06-30;2020;SR/PF/TO;0;0;0
ES;OUSADIA II;2020-07-01;2020;SR/PF/ES;1;0;0
BA;OLD SCHOOL;2020-07-02;2020;PF/VDC/BA;0;0;0
PB;CIFRÃO;2020-07-02;2020;SR/PF/PB;0;0;0
SE;SERÔDIO;2020-07-07;2020;SR/PF/SE;0;0;0
PA; MAGNA DOLUM - PF/RDO/PA;2020-07-08;2020;PF/RDO/PA;0;4;1
AP;FIEL DA BALANÇA;2020-07-08;2020;SR/PF/AP;0;0;0
SP;DARK SIDE;2020-07-14;2020;SR/PF/SP;0;0;0
CE; QUADRO NEGRO;2020-07-15;2020;SR/PF/CE;0;0;0
CE; BEREMIZ;2020-07-15;2020;SR/PF/CE;0;0;0
CE; FRUTO DE ESPINHO;2020-07-15;2020;SR/PF/CE;0;0;0
SE; LAGARTO;2020-07-16;2020;SR/PF/SE;0;0;0
RJ;EXAM - DESDOBRAMENTO;2020-07-17;2020;PF/MCE/RJ;0;0;0
AP;ÁGORA;2020-07-21;2020;PF/OPQ/AP;0;0;0
TO; CARTA MARCADA;2020-07-21;2020;SR/PF/TO;0;3;0
SP;PARALELO 23;2020-07-22;2020;SR/PF/SP;0;0;0
AP;SINDICUS II;2020-07-22;2020;SR/PF/AP;0;0;0
RO;AMICUS REGEM;2020-07-23;2020;SR/PF/RO;0;0;0
PE;APNEIA - 3ª FASE;2020-07-23;2020;SR/PF/PE;0;0;0
PE;BAL MASQUÉ;2020-07-23;2020;SR/PF/PE;0;0;0
RO;DÚCTIL FASE 2;2020-07-24;2020;SR/PF/RO;0;0;0
PI; TOPIQUE - 3ª FASE;2020-07-27;2020;NIP/SR/PF/PI;0;0;0
SE;SERÔDIO 2ª FASE;2020-07-27;2020;SR/PF/SE;0;0;0
SP; MENDAZ;2020-07-30;2020;PF/SOD/SP;0;0;0
RO;POLÍGRAFO;2020-07-30;2020;SR/PF/RO;0;0;0
SP;APNEIA SP;2020-07-30;2020;SR/PF/SP;0;0;0
PE;COFFEEBREAK;2020-07-30;2020;SR/PF/PE;0;0;0
RJ;PONTO FINAL - DESDOBRAMENTO;2020-07-30;2020;SR/PF/RJ;0;0;0
RS;RE 2020.0072326-DPF/LIV/RS;2020-07-31;2020;PF/LIV/RS;0;0;0
RJ;SCEPTICUS - 2 FASE;2020-07-31;2020;PF/MCE/RJ;0;0;0
SC;POSTAL OFF II;2020-08-04;2020;SR/PF/SC;0;0;0
RJ;RECADO;2020-08-04;2020;SIP/SR/PF/RJ;1;0;0
TO;DIRECT;2020-08-05;2020;SR/PF/TO;0;0;0
MA;FALSA ESPERANÇA;2020-08-05;2020;SR/PF/MA;0;4;0
RJ;DARDANARIOS;2020-08-06;2020;SR/PF/RJ;0;3;0
SP;NUDUS;2020-08-06;2020;SR/PF/SP;0;0;0
PI;ACESSO NEGADO;2020-08-07;2020;SR/PF/PI;1;0;0
AP;CONLUIO II;2020-08-07;2020;SR/PF/AP;2;0;0
RR;VÍRION;2020-08-13;2020;SR/PF/RR;0;0;0
AP;MÁSCARA DE FERRO;2020-08-18;2020;SR/PF/AP;0;0;0
MS;N95;2020-08-19;2020;SR/PF/MS;0;0;0
PR; LAVA JATO - FASE 72 - NAVEGAR É PRECISO;2020-08-19;2020;SR/PF/PR;2;0;0
MT; PADRINO;2020-08-20;2020;PF/CAE/MT;0;0;0
SE;ESTROINAS;2020-08-20;2020;NIP/SR/PF/SE;0;0;0
PR; LAVA JATO - FASE 73 - OMBRO A OMBRO;2020-08-25;2020;SR/PF/PR;0;0;0
SC;FOGO DE PALHA;2020-08-27;2020;SR/PF/SC;0;0;0
SP;PROTOCLETOS;2020-08-27;2020;SR/PF/SP;0;0;0
RS;PRAÇA DO POVO;2020-08-28;2020;PF/PFO/RS;0;0;0
RJ;TRIS IN IDEM;2020-08-28;2020;SR/PF/RJ;6;11;0
PI;CALIGO;2020-09-02;2020;NIP/SR/PF/PI;0;0;0
PB;FAMINTOS IV;2020-09-02;2020;PF/CGE/PB;0;0;0
PI; CALIGO;2020-09-02;2020;SR/PF/PI;0;0;0
AL;AURANTIUM;2020-09-03;2020;SR/PF/AL;0;0;0
DF;CIRCUITO FECHADO;2020-09-03;2020;SR/PF/DF;0;10;0
RJ;E$QUEMA S;2020-09-09;2020;SR/PF/RJ;0;0;0
PR; LAVA JATO - FASE 74 - SOVRAPPREZZO;2020-09-10;2020;SR/PF/PR;0;0;0
AC;ACÚLEO;2020-09-11;2020;PF/CZS/AC;0;0;0
BA;GUILDA DE PAPEL;2020-09-15;2020;PF/VDC/BA;0;0;0
PE;DESUMANO;2020-09-15;2020;SR/PF/PE;0;1;0
TO; CAMA DE TUT;2020-09-18;2020;SR/PF/TO;0;0;0
SP;ROTA 68;2020-09-22;2020;PF/CZO/SP;0;0;0
SP;TANQUE CHEIO;2020-09-22;2020;PF/CZO/SP;0;0;0
TO; TEMPOS MODERNOS;2020-09-22;2020;SR/PF/TO;0;0;0
PA; TUDO NOSSO E NADA DELES;2020-09-22;2020;PF/MBA/PA;0;0;3
RS;SEM MISERICORDIA;2020-09-23;2020;PF/LIV/RS;0;0;0
PR; LAVA JATO - FASE 75 - BOEMAN;2020-09-23;2020;SR/PF/PR;0;0;0
TO;ALCATEIA;2020-09-24;2020;SR/PF/TO;0;0;0
RJ;GARROTE;2020-09-24;2020;PF/NRI/RJ;0;2;0
RO;RECICLAGEM;2020-09-25;2020;PF/JPN/RO;5;0;0
PA;S.O.S;2020-09-29;2020;SR/PF/PA;0;73;2
AP;KRAKEN;2020-09-30;2020;SR/PF/AP;0;0;0
SE;OPERÇÃO RAIO X;2020-10-02;2020;SR/PF/SE;0;0;0
RJ;APNEUSE;2020-10-06;2020;PF/NIG/RJ;0;0;0
MS;OFFSET;2020-10-06;2020;PF/CRA/MS;0;0;0
TO;BÁLSAMO DE GILEADE;2020-10-07;2020;PF/AGA/TO;1;14;0
PB;FAMINTOS V;2020-10-07;2020;PF/CGE/PB;0;0;0
PR;APOCALIPSE;2020-10-07;2020;PF/FIG/PR;2;4;0
MG; ALEGRIA;2020-10-08;2020;FICCO/DRCOR/SR/PF/MG;29;0;0
AM;SANGRIA (2ª FASE);2020-10-08;2020;SR/PF/AM;0;5;0
RR;DESVID-19;2020-10-14;2020;SR/PF/RR;0;0;0
PA; TUDO NOSSO E NADA DELES II;2020-10-14;2020;PF/MBA/PA;0;0;1
RJ;TERGIVERSAÇÃO - 2 FASE;2020-10-15;2020;SIP/SR/PF/RJ;1;0;0
RR;GODFATHER II;2020-10-16;2020;SR/PF/RR;0;0;0
CE; MARQUETAGEM;2020-10-16;2020;SR/PF/CE;0;0;0
AP;KAIRÓS;2020-10-16;2020;SR/PF/AP;0;0;0
SP;ZARAM;2020-10-20;2020;PF/JLS/SP;0;6;0
ES;FOLHA DE CONTO;2020-10-20;2020;SR/PF/ES;0;0;0
DF; ÍNDIA;2020-10-21;2020;SR/PF/DF;0;0;0
MG; GUAXINIM;2020-10-21;2020;PF/JFA/MG;0;0;0
AP;BANQUETE;2020-10-21;2020;SR/PF/AP;0;0;0
AC;RES PRINCIPIS;2020-10-22;2020;SR/PF/AC;0;0;0
PE;LUCAS 12:2;2020-10-22;2020;SR/PF/PE;0;0;0
SP;TRIUNO;2020-10-22;2020;SR/PF/SP;1;0;0
MT;CIRCUMITUS;2020-10-23;2020;SR/PF/MT;0;0;0
MG;APAGADOR;2020-10-27;2020;SR/PF/MG;0;0;0
PA;PARASITA II;2020-10-27;2020;SR/PF/PA;1;0;0
SP;SILÍCIO;2020-10-28;2020;SR/PF/SP;0;0;0
SE;RESTAURAÇÃO;2020-10-29;2020;SR/PF/SE;0;0;0
AC; DIRTY SAFE;2020-10-29;2020;PF/CZS/AC;0;0;0
MA;OFICINA DESMASCARADA;2020-10-30;2020;SR/PF/MA;0;2;1
MA;COBIÇA FATAL - 2ª FASE;2020-10-30;2020;SR/PF/MA;0;0;0
CE; CARTÃO VERMELHO;2020-11-03;2020;SR/PF/CE;0;0;1
PA; ADRENALINA;2020-11-05;2020;PF/ATM/PA;0;0;0
SC; FUSCUS;2020-11-05;2020;PF/CCM/SC;0;0;0
ES;PARASITA;2020-11-06;2020;SR/PF/ES;0;0;0
MA; MASCATE;2020-11-09;2020;PF/CXS/MA;1;0;1
MS;HEMOGRAMA;2020-11-10;2020;PF/CRA/MS;0;0;0
PE;MAPA DA MINA;2020-11-11;2020;SR/PF/PE;0;0;0
RO; SUFFRAGIUM FLEX (ELEIÇÕES MUNICIPAIS DE 2020-GMI);2020-11-14;2020;PF/GMI/RO;0;0;0
MG;ZIG ZAG FASE 2;2020-11-17;2020;SR/PF/MG;0;0;0
RJ;ARMADEIRA 2;2020-11-18;2020;SR/PF/RJ;0;0;0
MG;COSME;2020-11-18;2020;NIP/SR/PF/MG;0;0;0
SP;10W40;2020-11-19;2020;PF/CZO/SP;0;0;0
BA; METASTASE;2020-11-19;2020;PF/JZO/BA;4;1;0
CE; KM LIVRE - FASE II;2020-11-19;2020;SR/PF/CE;1;0;1
MG;VÁCUO;2020-11-20;2020;SR/PF/MG;0;0;0
AM;PONTO DE PARADA;2020-11-23;2020;SR/PF/AM;0;3;0
MS;MOTOR DE LAMA;2020-11-24;2020;SR/PF/MS;0;0;0
MG;INIQUIDADE;2020-11-24;2020;SR/PF/MG;0;0;0
RJ;OCTOPUS;2020-11-24;2020;PF/MCE/RJ;0;0;0
PB;POÇO SEM FUNDO;2020-11-25;2020;SR/PF/PB;0;0;0
PE;OUTLINE - 3ª FASE;2020-11-25;2020;SR/PF/PE;0;0;0
TO;EXPROBO2;2020-11-25;2020;SR/PF/TO;0;0;0
TO;EXPROBO;2020-11-25;2020;SR/PF/TO;0;0;0
MS;POSTO EXCLUSIVO;2020-11-26;2020;PF/CRA/MS;0;0;0
SP;CANAL SEGURO;2020-11-26;2020;SR/PF/SP;0;0;0
RS; CAMILO FASE 4 - BUSCAS OSÓRIO;2020-11-27;2020;PF/SCS/RS;0;0;0
ES;RESGATE;2020-11-30;2020;SR/PF/ES;0;0;0
RS; PACIENTE ZERO;2020-12-01;2020;PF/PFO/RS;0;0;0
PR;CAFÉ EXPRESSO PARANÁ;2020-12-03;2020;SR/PF/PR;0;4;0
GO;AVENTURA;2020-12-03;2020;SR/PF/GO;0;0;0
AP;ASFIXIA;2020-12-03;2020;SR/PF/AP;0;0;0
SC; FUSCUS - FASE 2;2020-12-03;2020;PF/CCM/SC;0;0;0
MA;ÁGIO FINAL;2020-12-03;2020;SR/PF/MA;3;0;0
PE; ÁGIO EMERGENCIAL;2020-12-04;2020;PF/SGO/PE;0;0;0
RJ;FIM DO TÚNEL;2020-12-07;2020;SR/PF/RJ;0;0;0
MT;CHAPÉU DE PALHA;2020-12-09;2020;PF/ROO/MT;0;0;0
RJ;TALHA;2020-12-09;2020;SR/PF/RJ;0;0;0
PE;ARTICULATA;2020-12-10;2020;SR/PF/PE;0;0;0
MG;ENTRE AMIGOS;2020-12-11;2020;PF/DVS/MG;0;4;0
BA;FAROESTE - FASE 7;2020-12-14;2020;SR/PF/BA;0;0;0
BA;FAROESTE - FASE 6;2020-12-14;2020;SR/PF/BA;3;0;0
PA; DE CONTRA SANTARÉM;2020-12-15;2020;PF/SNM/PA;0;0;0
DF;TOLUENO;2020-12-15;2020;SR/PF/DF;3;8;0
TO;PERSONALE 2;2020-12-15;2020;SR/PF/TO;0;0;0
PB;RECIDIVA V;2020-12-15;2020;PF/PAT/PB;0;0;0
PE;QUASAR;2020-12-15;2020;PF/SGO/PE;0;0;0
RJ;KICKBACK;2020-12-15;2020;SR/PF/RJ;1;0;0
BA;EFEITOS ADVERSOS;2020-12-16;2020;SR/PF/BA;0;3;0
PI;ACESSO NEGADO II- EPIFANIA;2020-12-16;2020;SR/PF/PI;0;0;0
RJ;TRANSOCEÂNICA;2020-12-16;2020;SR/PF/RJ;0;0;0
BA;EXPRESSO SERTÃO;2020-12-17;2020;SR/PF/BA;0;0;0
MA; DESCALABRO - MA;2020-12-18;2020;SR/PF/MA;0;0;0
PA;ADRENALINA II (2 FASE);2020-12-18;2020;PF/ATM/PA;3;0;0
RJ;CLANDESTINO SEQUÊNCIA;2020-12-18;2020;SR/PF/RJ;1;0;0
DF;CIRCUITO FECHADO - 3ª FASE;2020-12-18;2020;SR/PF/DF;5;6;0
BA;ANÓXIA;2020-12-22;2020;PF/ILS/BA;0;0;0
PE; WC;2021-01-08;2021;NIP/SR/PF/PE;0;0;0
PI;CAMPANILE;2021-01-12;2021;NIP/SR/PF/PI;0;0;0
PI;ONZENA;2021-01-14;2021;SR/PF/PI;0;0;0
SC;HEMORRAGIA;2021-01-19;2021;SR/PF/SC;11;9;0
AC; METÁFORA - IPL 2020.0040326;2021-01-20;2021;PF/EPA/AC;0;0;0
DF;GRAVAME;2021-01-22;2021;SR/PF/DF;0;0;0
AP;AMPERE;2021-02-02;2021;SR/PF/AP;0;0;0
RJ;PRONTA EMERGÊNCIA;2021-02-03;2021;SR/PF/RJ;0;0;0
RN;GUARAÍRAS - FASE 2;2021-02-05;2021;SR/PF/RN;0;0;0
RJ;DESMASCARADOS;2021-02-10;2021;SR/PF/RJ;0;0;0
PR; LAVA JATO - FASE 80 - PSEUDEIA;2021-02-11;2021;SR/PF/PR;0;0;0
BA;BACKSTAGE;2021-02-11;2021;PF/VDC/BA;1;0;0
RR; ARGOS;2021-02-23;2021;PF/PAC/RR;0;0;0
TO;SEMPITERNUS;2021-02-24;2021;PF/AGA/TO;0;0;0
PI;OP. REAGENTE II;2021-02-25;2021;SR/PF/PI;1;0;1
MS;TAC;2021-02-25;2021;SR/PF/MS;0;0;0
MA;ESTOQUE ZERO;2021-03-02;2021;SR/PF/MA;0;0;0
RR;PROFILAXIA (TRIAGEM);2021-03-02;2021;SR/PF/RR;0;0;2
RJ;MAIS VALIA;2021-03-02;2021;SR/PF/RJ;11;0;1
TO;ESOPO 267;2021-03-03;2021;SR/PF/TO;0;0;0
MA; RECÔNDITO;2021-03-03;2021;PF/ITZ/MA;0;0;0
RJ;OSSOBUCO;2021-03-11;2021;SR/PF/RJ;0;0;0
BA;KINDERGARTEN;2021-03-18;2021;DPF/BRA/BA;0;0;0
RO; PEDÁGIO 3ª FASE ;2021-03-24;2021;PF/JPN/RO;0;0;0
AC; CONTÁGIO;2021-03-25;2021;SR/PF/AC;0;0;0
AM;ÍNVIO;2021-04-08;2021;SR/PF/AM;0;0;0
